
===== backside_reject: 43 rows -> 10 first-rejects (33 repeats) =====
  2026-08-10 DBGI   @17.07    off(15:30)   +4.5%  eod   +4.7%  $  +0.00  dg=11.21  [ma_pullback]
  2026-08-05 NEGG   @16.865   off(15:30)   +4.3%  eod   +5.1%  $  +0.00  dg=10.23  [ignition]
  2026-08-06 LYEL   @14.98    off(15:30)   +4.3%  eod   +4.3%  $  +0.00  dg=11.38  [ignition]
  2026-08-10 AZI    @1.63     off(15:30)   +4.3%  eod   +4.3%  $  +0.00  dg=8.67  [flat_top]
  2026-08-05 PLRZ   @11.61    off(15:30)   +4.2%  eod   +4.2%  $  +0.00  dg=13.82  [ignition]
  2026-08-11 IBG    @1.0      off(15:30)   +4.0%  eod   +4.0%  $  +0.00  dg=4.91  [ignition]
  2026-08-05 CDT    @3.6      off(15:30)   +3.9%  eod   +3.9%  $  -6.00  dg=14.65  [ignition]
  2026-08-07 SAGT   @0.803    off(15:30)   +3.8%  eod   +3.8%  $  -6.00  dg=11.37  [ignition]
  2026-08-11 VIVK   @1.3699   off(15:30)   +3.7%  eod   +3.7%  $  -6.00  dg=-4.2  [ma_pullback]
  2026-08-10 HKIT   @3.31     off(15:30)   +3.6%  eod   +3.6%  $  -6.00  dg=8.88  [ignition]
  2026-08-06 HYFM   @1.855    off(15:30)   +3.5%  eod   +3.5%  $  -6.00  dg=14.51  [ignition]
  2026-08-10 AWX    @2.8112   off(15:30)   +3.2%  eod   +3.2%  $  -6.00  dg=8.12  [flat_top]
  2026-08-11 UK     @2.335    off(15:30)   +2.5%  eod   +2.8%  $  -6.00  dg=14.46  [flat_top]
  2026-08-05 BEEP   @2.05     off(15:30)   +2.4%  eod   +7.3%  $  -6.00  dg=13.26  [flat_top]
  2026-08-05 CNXU   @10.11    off(15:30)   +2.4%  eod   +2.4%  $  -6.00  dg=11.34  [ignition]
  2026-08-06 VMAR   @0.751    off(15:30)   +2.4%  eod   +2.4%  $  -6.00  dg=13.02  [ignition]
  2026-08-10 POM    @0.9784   off(15:30)   +2.2%  eod  +27.8%  $  -6.00  dg=13.11  [ignition]
